Id,SalePrice
1461,126247.24
1462,162213.98
1463,180347.06
1464,191042.33
1465,199306.66
1466,172472.22
1467,172941.81
1468,172906.34
1469,176694.64
1470,128537.77
1471,204847.97
1472,98689.125
1473,101059.14
1474,155449.66
1475,133813.66
1476,422133.9
1477,263025.75
1478,317550.8
1479,245324.08
1480,485624.2
1481,334008.5
1482,209606.12
1483,176927.02
1484,171753.25
1485,167591.75
1486,197760.48
1487,343721.53
1488,229796.28
1489,220669.86
1490,205206.16
1491,183922.3
1492,88022.63
1493,186236.19
1494,297872.34
1495,281630.38
1496,239716.11
1497,192684.4
1498,157203.06
1499,152911.6
1500,151589.4
1501,185108.55
1502,158777.95
1503,321606.16
1504,231309.97
1505,225723.64
1506,188844.0
1507,236253.12
1508,215292.44
1509,165144.8
1510,145355.69
1511,149659.53
1512,168586.98
1513,150397.03
1514,160804.58
1515,186833.23
1516,155972.19
1517,148344.73
1518,124746.29
1519,221960.69
1520,140561.83
1521,145687.95
1522,166692.84
1523,117121.336
1524,124380.92
1525,128243.32
1526,115282.85
1527,105188.89
1528,128263.61
1529,144567.83
1530,163138.6
1531,117479.71
1532,102461.266
1533,137181.36
1534,115351.2
1535,161514.66
1536,123940.445
1537,69922.016
1538,182380.53
1539,171074.06
1540,112912.44
1541,148750.17
1542,146361.27
1543,233394.66
1544,80040.336
1545,105157.445
1546,132690.7
1547,144856.6
1548,136619.53
1549,124138.445
1550,139616.95
1551,110517.62
1552,142348.78
1553,145593.92
1554,113181.33
1555,177719.72
1556,85873.164
1557,116448.29
1558,87788.805
1559,92268.93
1560,133182.75
1561,142284.12
1562,129453.92
1563,119733.61
1564,149229.78
1565,155902.7
1566,208427.6
1567,71813.73
1568,233760.44
1569,153623.31
1570,124038.125
1571,127635.71
1572,146213.81
1573,245081.52
1574,106198.61
1575,211957.6
1576,237297.55
1577,206429.69
1578,149362.42
1579,140442.58
1580,190330.4
1581,147397.05
1582,125761.4
1583,330477.34
1584,227547.75
1585,138985.55
1586,70171.59
1587,93702.48
1588,156311.58
1589,95993.74
1590,134342.56
1591,95930.0
1592,125468.24
1593,118863.4
1594,134774.3
1595,112680.13
1596,248055.97
1597,169722.66
1598,200481.88
1599,190784.27
1600,191653.39
1601,66250.93
1602,114114.695
1603,89986.05
1604,270795.84
1605,237228.08
1606,174071.7
1607,156902.9
1608,209737.4
1609,199794.4
1610,168495.34
1611,136592.12
1612,155921.84
1613,155835.9
1614,117792.69
1615,89105.03
1616,74790.055
1617,88890.17
1618,128640.945
1619,139984.97
1620,149146.92
1621,140992.64
1622,147570.89
1623,306233.12
1624,218873.73
1625,124300.33
1626,170308.3
1627,185430.75
1628,269434.9
1629,179708.98
1630,380221.0
1631,220310.78
1632,256853.58
1633,174029.34
1634,186706.34
1635,186598.44
1636,158485.02
1637,180642.75
1638,209094.1
1639,184636.42
1640,243530.89
1641,179075.55
1642,228910.77
1643,228597.75
1644,231333.94
1645,194093.64
1646,158669.78
1647,155855.16
1648,124932.67
1649,140489.2
1650,113386.76
1651,118609.93
1652,94552.11
1653,96528.62
1654,155481.3
1655,150129.16
1656,147757.14
1657,158161.97
1658,147353.3
1659,143140.06
1660,150660.23
1661,468018.53
1662,389749.53
1663,360309.62
1664,457499.56
1665,318369.03
1666,318383.34
1667,356566.03
1668,326995.16
1669,297405.5
1670,335916.72
1671,248605.45
1672,503573.84
1673,291726.94
1674,251687.8
1675,184838.94
1676,194953.53
1677,225611.02
1678,458868.4
1679,368478.75
1680,326660.38
1681,259728.19
1682,299560.7
1683,180915.9
1684,169546.72
1685,179036.78
1686,165559.55
1687,169125.27
1688,179798.27
1689,184406.3
1690,187279.05
1691,181880.67
1692,262022.0
1693,166068.14
1694,188898.19
1695,167815.03
1696,271944.22
1697,170818.11
1698,383713.1
1699,342131.25
1700,258554.0
1701,257496.19
1702,234745.08
1703,249985.89
1704,291071.06
1705,247112.4
1706,445962.3
1707,227686.52
1708,221463.5
1709,273137.6
1710,227810.58
1711,268714.0
1712,260611.05
1713,250073.38
1714,224667.95
1715,209799.05
1716,190287.02
1717,166135.3
1718,137109.23
1719,200413.22
1720,265469.97
1721,170687.22
1722,131458.56
1723,151060.45
1724,211431.48
1725,231265.89
1726,188298.19
1727,164056.28
1728,168373.2
1729,166727.77
1730,161591.8
1731,115956.016
1732,129836.46
1733,117251.16
1734,120002.016
1735,135504.97
1736,110608.29
1737,336479.06
1738,218303.61
1739,243033.98
1740,211818.38
1741,194203.73
1742,176789.47
1743,171918.08
1744,302651.7
1745,241923.44
1746,233473.27
1747,218650.53
1748,212458.86
1749,152118.5
1750,135690.08
1751,231583.27
1752,120213.44
1753,137757.84
1754,195514.38
1755,167381.56
1756,137782.69
1757,123653.49
1758,142125.73
1759,174164.16
1760,156840.39
1761,140028.52
1762,175251.55
1763,168148.42
1764,114697.516
1765,161887.81
1766,171134.27
1767,207608.58
1768,143452.28
1769,154518.66
1770,142335.67
1771,127149.96
1772,139867.86
1773,145157.55
1774,123986.78
1775,143944.56
1776,124655.3
1777,121581.34
1778,141677.9
1779,110258.15
1780,178408.0
1781,132375.64
1782,96922.51
1783,127918.86
1784,105430.47
1785,117705.09
1786,154478.61
1787,178534.23
1788,52429.984
1789,92766.1
1790,93936.586
1791,187891.97
1792,159290.45
1793,141933.83
1794,149690.3
1795,134695.89
1796,125001.586
1797,117847.17
1798,126311.47
1799,121811.305
1800,132249.12
1801,128374.625
1802,147254.48
1803,143725.31
1804,143754.7
1805,134634.2
1806,114325.8
1807,136948.44
1808,115968.97
1809,120439.85
1810,147489.67
1811,105893.71
1812,106961.49
1813,122726.555
1814,96782.13
1815,53983.566
1816,97389.86
1817,123562.625
1818,141377.53
1819,111771.79
1820,53246.098
1821,115035.0
1822,156201.2
1823,41580.117
1824,141070.17
1825,134161.2
1826,104224.05
1827,107999.16
1828,139072.39
1829,110555.66
1830,160608.12
1831,163326.52
1832,95467.99
1833,141503.38
1834,125612.516
1835,160681.33
1836,140294.97
1837,88590.33
1838,131758.94
1839,82352.95
1840,178990.44
1841,158033.61
1842,75648.99
1843,128804.164
1844,131372.42
1845,131799.89
1846,156156.98
1847,146251.73
1848,52664.395
1849,117799.09
1850,120862.0
1851,155140.08
1852,130624.95
1853,129740.86
1854,169701.52
1855,150620.95
1856,228627.28
1857,161278.64
1858,135224.6
1859,119929.45
1860,149682.14
1861,119867.016
1862,272065.1
1863,271578.22
1864,271578.22
1865,324353.47
1866,327533.6
1867,241200.17
1868,310093.12
1869,202717.33
1870,242287.78
1871,257058.47
1872,168105.38
1873,227828.5
1874,139700.06
1875,196746.67
1876,194932.8
1877,214245.52
1878,211267.56
1879,140788.06
1880,138573.69
1881,239989.56
1882,246442.03
1883,199214.73
1884,209302.3
1885,268151.72
1886,303551.2
1887,201863.52
1888,273759.03
1889,156318.42
